Date,Soy oil
10/15/2012,48.44
10/16/2012,48.9
10/17/2012,49.46
10/18/2012,50.73
10/19/2012,50.01
10/22/2012,50.09
10/23/2012,49.7
10/24/2012,49.97
10/25/2012,49.58
10/26/2012,49.09
10/29/2012,48.31
10/30/2012,48.22
10/31/2012,48.04
11/1/2012,48.31
11/2/2012,47.14
11/5/2012,46.2
11/6/2012,46.56
11/7/2012,46.5
11/8/2012,46.65
11/12/2012,45.27
11/13/2012,44.9
11/14/2012,45.3
11/15/2012,45.09
11/16/2012,44.68
11/19/2012,45.52
11/20/2012,45.95
11/21/2012,46.16
11/26/2012,46.65
11/27/2012,47.5
11/28/2012,47.49
11/29/2012,47.15
11/30/2012,46.79
12/3/2012,47.28
12/4/2012,47.12
12/5/2012,48.38
12/6/2012,48.25
12/7/2012,48.51
12/10/2012,48.53
12/11/2012,47.58
12/12/2012,47.29
12/13/2012,46.75
12/14/2012,47.74
12/17/2012,47.54
12/18/2012,46.92
12/19/2012,46.16
12/20/2012,45.66
12/21/2012,46.46
12/25/2012,46.46
12/26/2012,46.04
12/27/2012,46.04
12/28/2012,46.69
12/31/2012,46.86
1/2/2013,48.35
1/3/2013,48.04
1/4/2013,47.25
1/7/2013,47.28
1/9/2013,47.5
1/10/2013,47.63
1/11/2013,47.12
1/14/2013,48.33
1/15/2013,48.75
1/16/2013,49.19
1/17/2013,49.37
1/18/2013,49.56
1/21/2013,49.56
1/22/2013,50.31
1/23/2013,49.91
1/24/2013,49.99
1/25/2013,49.98
1/28/2013,49.77
1/29/2013,49.59
1/30/2013,50.48
1/31/2013,50.74
2/1/2013,50.87
2/4/2013,50.99
2/5/2013,50.86
2/6/2013,50.33
2/7/2013,49.73
2/8/2013,49.31
2/11/2013,49.12
2/12/2013,48.98
2/13/2013,49.54
2/14/2013,49.58
2/15/2013,49.5
2/19/2013,50.41
2/20/2013,50.25
2/21/2013,49.49
2/22/2013,48.53
2/25/2013,48.25
2/26/2013,47.2
2/27/2013,47.45
2/28/2013,47
3/1/2013,47.85
3/4/2013,48.43
3/5/2013,48.3
3/6/2013,48.44
3/7/2013,48.78
3/8/2013,48.54
3/11/2013,48.62
3/12/2013,48.21
3/13/2013,47.9
3/14/2013,47.72
3/15/2013,48.29
3/18/2013,48.06
3/19/2013,47.86
3/20/2013,48.84
3/21/2013,49.42
3/22/2013,49.43
3/25/2013,49.44
3/26/2013,49.82
3/27/2013,49.57
3/28/2013,48.86
4/1/2013,49.81
4/2/2013,49.34
4/3/2013,48.9
4/4/2013,48.43
4/5/2013,48.71
4/8/2013,49.4
4/9/2013,49.86
4/10/2013,50.16
4/11/2013,49.9
4/12/2013,49.36
4/15/2013,48.31
4/16/2013,49.11
4/17/2013,49.42
4/18/2013,49.69
4/19/2013,49.19
4/22/2013,48.65
4/23/2013,48.6
4/24/2013,49.21
4/25/2013,49.8
4/26/2013,49.69
4/29/2013,49.49
4/30/2013,49.16
5/1/2013,48.89
5/2/2013,48.67
5/3/2013,49.41
5/6/2013,48.94
5/7/2013,49.34
5/8/2013,49.07
5/9/2013,49.47
5/10/2013,49.48
5/13/2013,49.86
5/14/2013,50.01
5/15/2013,49.6
5/16/2013,49.77
5/17/2013,49.77
5/20/2013,49.45
5/21/2013,49.73
5/22/2013,49.77
5/23/2013,49.59
5/24/2013,49.17
5/27/2013,49.17
5/28/2013,49.47
5/29/2013,48.56
5/30/2013,48.51
5/31/2013,48.31
6/3/2013,48.59
6/4/2013,48.52
6/5/2013,48.23
6/6/2013,47.79
6/7/2013,48.16
6/10/2013,47.7
6/11/2013,47.67
6/12/2013,47.74
6/13/2013,47.47
6/14/2013,48.38
6/17/2013,48.74
6/18/2013,48.69
6/19/2013,49.23
6/20/2013,48.28
6/21/2013,47.9
6/24/2013,47.55
6/25/2013,47.14
6/26/2013,46.51
6/27/2013,46.28
6/28/2013,46.25
7/1/2013,46.68
7/2/2013,46.75
7/3/2013,47.05
7/5/2013,47.06
7/8/2013,46.84
7/9/2013,46.91
7/10/2013,46.85
7/11/2013,46.36
7/12/2013,46.05
7/15/2013,45.67
7/16/2013,45.54
7/17/2013,45.62
7/18/2013,45.35
7/19/2013,45.33
7/22/2013,45.24
7/23/2013,44.61
7/24/2013,43.96
7/25/2013,43.51
7/26/2013,43.28
7/29/2013,42.17
7/30/2013,41.81
7/31/2013,41.67
8/1/2013,41.97
8/2/2013,41.86
8/5/2013,42.2
8/6/2013,41.59
8/7/2013,41.24
8/8/2013,41.25
8/9/2013,41
8/12/2013,41.92
8/13/2013,42.18
8/14/2013,41.84
8/15/2013,42.62
8/16/2013,42.31
8/19/2013,42.95
8/20/2013,42.23
8/21/2013,42.15
8/22/2013,41.76
8/23/2013,42.02
8/26/2013,43.82
8/27/2013,43.56
8/28/2013,43.94
8/29/2013,43.41
8/30/2013,43.52
9/2/2013,43.52
9/3/2013,43.45
9/4/2013,43.19
9/5/2013,42.82
9/6/2013,42.99
9/9/2013,42.44
9/10/2013,42.36
9/11/2013,42.47
9/12/2013,42.53
9/13/2013,42.09
9/16/2013,41.88
9/17/2013,41.75
9/18/2013,42.22
9/19/2013,42.46
9/20/2013,41.84
9/23/2013,41.72
9/24/2013,41.59
9/25/2013,41.32
9/26/2013,41.54
9/27/2013,41.26
9/30/2013,40.58
10/18/2013,40.31
10/21/2013,40.52
10/22/2013,40.4
10/23/2013,40.38
10/24/2013,40.13
10/25/2013,39.36
10/28/2013,38.99
10/29/2013,39.6
10/30/2013,40.25
10/31/2013,40.21
11/1/2013,40.59
11/4/2013,40.25
11/5/2013,40.15
11/6/2013,40.02
11/7/2013,39.62
11/8/2013,39.12
11/11/2013,39.3
11/12/2013,39.63
11/13/2013,39.84
11/14/2013,39.85
11/15/2013,39.35
11/18/2013,38.99
11/19/2013,38.74
11/20/2013,39.07
11/21/2013,40.29
11/22/2013,39.91
11/25/2013,39.41
11/26/2013,39.1
11/27/2013,38.75
12/2/2013,39.09
12/3/2013,38.65
12/4/2013,38.27
12/5/2013,38.51
12/6/2013,38.41
12/9/2013,38.18
12/10/2013,38.04
12/11/2013,38.53
12/12/2013,38.12
12/13/2013,37.96
12/16/2013,37.88
12/17/2013,37.44
12/18/2013,36.81
12/19/2013,37.08
12/23/2013,37.03
12/24/2013,36.85
12/26/2013,36.62
12/27/2013,36.77
12/30/2013,36.37
12/31/2013,36.57
1/2/2014,36.18
1/3/2014,35.98
1/6/2014,35.5
1/7/2014,35.31
1/8/2014,35.06
1/9/2014,35.34
1/10/2014,35.61
1/13/2014,35.22
1/14/2014,35.14
1/15/2014,35.37
1/16/2014,34.93
1/17/2014,34.62
1/21/2014,34.98
1/22/2014,34.72
1/23/2014,34.74
1/24/2014,34.47
1/27/2014,33.99
1/28/2014,34.33
1/29/2014,34.03
1/30/2014,34
1/31/2014,34.57
2/3/2014,34.38
2/4/2014,34.64
2/5/2014,35.16
2/6/2014,35.71
2/7/2014,35.61
2/10/2014,35.78
2/11/2014,35.9
2/12/2014,36.32
2/13/2014,36.87
2/14/2014,36.48
2/18/2014,37.69
2/19/2014,37.69
2/20/2014,38.52
2/21/2014,39.03
2/24/2014,38.83
2/25/2014,38.66
2/26/2014,39.28
2/27/2014,38.98
2/28/2014,39.6
3/3/2014,40.19
3/4/2014,41.54
3/5/2014,41.73
3/6/2014,43.04
3/7/2014,42.87
3/10/2014,42.41
3/11/2014,42.3
3/12/2014,42.05
3/13/2014,41.62
3/14/2014,40.92
3/17/2014,40.52
3/18/2014,40.9
3/19/2014,40.73
3/20/2014,39.94
3/21/2014,39.65
3/24/2014,39.59
3/25/2014,39.62
3/26/2014,39.61
3/27/2014,39.31
3/28/2014,39.36
3/31/2014,39.3
4/1/2014,40.53
4/2/2014,39.98
4/3/2014,40.8
4/4/2014,40.7
4/7/2014,40.56
4/8/2014,41.24
4/9/2014,42.41
4/10/2014,42
4/11/2014,41.6
4/14/2014,41.76
4/15/2014,42.33
4/16/2014,43.21
4/17/2014,43.16
4/21/2014,42.75
4/22/2014,42.49
4/23/2014,42.25
4/24/2014,42.34
4/25/2014,42.67
4/28/2014,42.37
4/29/2014,42.52
4/30/2014,41.63
5/1/2014,41.29
5/2/2014,41.64
5/5/2014,41.3
5/6/2014,41.24
5/7/2014,40.96
5/8/2014,41.25
5/9/2014,41.31
5/12/2014,41.11
5/13/2014,41.34
5/14/2014,41.51
5/15/2014,41.17
5/16/2014,40.88
5/19/2014,40.55
5/20/2014,40.2
5/21/2014,40.35
5/22/2014,40.74
5/23/2014,40.26
5/27/2014,39.82
5/28/2014,39.51
5/29/2014,39.41
5/30/2014,38.5
