Date,Soybean meal
4/26/2018,386.7
5/3/2018,408.1
5/10/2018,395.3
5/17/2018,385.6
5/24/2018,387.8
5/31/2018,377.8
6/7/2018,367.9
6/14/2018,352.7
6/21/2018,341.3
6/28/2018,341.9
7/5/2018,337.9
7/12/2018,341.9
7/19/2018,339.3
7/26/2018,342.6
8/2/2018,343.3
8/9/2018,342.6
8/16/2018,344.6
8/23/2018,322.7
8/30/2018,309.9
9/6/2018,321.4
9/13/2018,321.4
9/20/2018,321.9
9/27/2018,318.3
10/4/2018,318.2
10/11/2018,322.8
10/18/2018,321.8
10/25/2018,307.3
11/1/2018,316.4
11/8/2018,309.1
11/15/2018,308.4
11/22/2018,309.1
11/29/2018,311.4
12/6/2018,314.2
12/13/2018,310.5
12/20/2018,309.7
12/27/2018,308.8
1/3/2019,315.3
1/10/2019,317.8
1/17/2019,313.7
1/24/2019,333.9
1/31/2019,329.5
2/7/2019,304
2/14/2019,378.2
2/21/2019,380.4
2/28/2019,397.7
3/7/2019,303.3
3/14/2019,308.9
3/21/2019,313.3
3/28/2019,305
4/4/2019,310.4
4/11/2019,305.7
4/18/2019,301.7
4/25/2019,303.5
5/2/2019,292.4
5/9/2019,286.1
5/16/2019,298.9
5/23/2019,293.7
5/30/2019,326.4
6/6/2019,317.4
6/13/2019,330.7
6/20/2019,332
6/27/2019,321.2
7/4/2019,308.8
7/11/2019,315.4
7/18/2019,311
7/25/2019,307.9
8/1/2019,297.6
8/8/2019,299.8
8/15/2019,294.8
8/22/2019,295.7
8/29/2019,295
9/5/2019,293.2
9/12/2019,300.1
9/19/2019,294.7
9/26/2019,293.3
10/3/2019,308.9
10/10/2019,313.8
10/17/2019,312.8
10/24/2019,306.6
10/31/2019,305.9
11/7/2019,307.1
11/14/2019,304.6
11/21/2019,303
11/27/2019,295.8
11/28/2019,295.8
12/5/2019,302.5
12/12/2019,295.2
12/19/2019,299.4
12/25/2019,300.5
12/26/2019,300.5
1/2/2020,304.6
1/9/2020,317.8
1/16/2020,313.7
1/23/2020,311.3
1/30/2020,309
2/6/2020,304
2/13/2020,306
2/20/2020,306.4
2/27/2020,305.1
3/2/2020,303.3
3/5/2020,303.3
3/12/2020,308.9
3/19/2020,313.3
3/26/2020,324.4
4/2/2020,310.6
4/9/2020,294
4/16/2020,295.6
4/23/2020,292.1
4/30/2020,296.6
5/7/2020,289.6
5/14/2020,289.7
5/21/2020,283.85
5/28/2020,285.8
6/4/2020,291.3
6/11/2020,291.2
6/18/2020,290.3
6/25/2020,288.5
7/2/2020,296.7
7/9/2020,297.8
7/16/2020,287.5
7/23/2020,290.9
7/30/2020,292
8/6/2020,282.2
8/13/2020,291.6
8/20/2020,292.8
8/27/2020,295.7
9/3/2020,305.6
9/10/2020,310.7
9/17/2020,328.4
9/24/2020,329.5
10/1/2020,346.9
10/8/2020,358.6
10/15/2020,371.1
10/22/2020,381.4
10/29/2020,375.9
11/5/2020,385.8
11/12/2020,386.1
11/19/2020,391.7
11/26/2020,394.9
12/3/2020,375.2
12/10/2020,375.2
12/16/2020,395.4
12/17/2020,395.4
12/23/2020,418.7
12/24/2020,418.7
12/31/2020,431.9
1/7/2021,429.7
1/14/2021,462.25
1/21/2021,436.7
1/28/2021,425.6
2/4/2021,431.6
2/11/2021,427.4
2/18/2021,434.4
2/22/2021,434.4
2/25/2021,422.6
3/4/2021,420.7
3/11/2021,417.1
3/18/2021,406.6
3/25/2021,398.3
4/1/2021,398.7
4/8/2021,407.4
4/15/2021,396
4/22/2021,415.9
4/29/2021,434.15
5/6/2021,428
5/13/2021,451
5/20/2021,414.8
5/27/2021,390.3
6/3/2021,402.7
6/10/2021,391.3
6/17/2021,373.9
6/24/2021,365.3
7/1/2021,353.4
7/8/2021,362.1
7/15/2021,362.5
